date,volume1,volume2,volume3,volume4,volume5,volume6,volume7
1974,5,147,37,53,3,1,15
1975,6,131,32,57,29,1,16
1976,5,137,30,60,35,1,15
1977,6,126,22,69,37,1,16
1978,9,104,32,76,45,2,18,
1979,11,15,41,77,51,3,17
1980,16,109,32,74,63,4,18
1981,29,94,32,81,63,7,18
1982,38,82,29,84,62,9,17
1983,72,72,30,82,69,8,19
1984,190,63,27,76,81,8,18
1985,249,57,28,66,84,7,18
1986,407,56,29,72,90,16,19
1987,457,53,28,68,93,17,20
1988,539,53,31,61,102,22,19
1989,636,49,33,50,105,22,21
1990,725,37,37,41,112,23,18
1991,795,40,32,39,126,31,22
1992,985,38,30,43,139,37,23
1993,1053,34,29,27,139,43,23
1994,1092,32,33,28,138,44,21
1995,1127,32,38,23,145,43,18
1996,1090,30,41,19,146,44,23
1997,1159,25,36,14,146,47,20
1998,1134,22,27,22,143,51,21
1999,1150,23,23,14,149,60,20
2000,1159,27,38,11,161,66,22
2001,1091,20,44,18,154,78,20
2002,1085,21,39,14,163,94,20
2003,1081,18,38,10,177,97,20
2004,1133,20,43,8,187,89,19
2005,1167,9,40,9,201,95,21
2006,1137,18,47,9,204,95,22
2007,1154,18,59,10,196,92,21
2008,1145,17,47,7,202,98,21
2009,1156,16,69,10,203,104,23
2010,1156,16,48,7,203,91,24
2011,1151,18,59,5,200,92,23
2012,1209,17,53,5,195,100,25
2013,1152,25,67,5,191,98,24
2014,1198,17,45,4,191,107,23
